scientific_name,alias,source,notes
Acanthis flammea,Acanthis cabaret,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Acanthis flammea,Carduelis flammea,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Acheta domesticus,Acheta domestica,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Acritillas indica,Iole indica,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Acrochordopus burmeisteri,Tyranniscus burmeisteri,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Aenigmatolimnas marginalis,Amaurornis marginalis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Afrotis afra,Eupodotis afra,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Afrotis afraoides,Eupodotis afraoides,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Agelasticus cyanopus,Agelasticus atroolivaceus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Aglaothorax ovatus,Aglaothorax ovata,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Ailuroedus melanotis,Ailuroedus arfakianus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Ailuroedus melanotis,Ailuroedus astigmaticus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Ailuroedus melanotis,Ailuroedus jobiensis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Ailuroedus melanotis,Ailuroedus melanocephalus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Alces alces,Alces americanus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Amazilis amazilia,Amazilia amazilia,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Amazona farinosa,Amazona guatemalae,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Amirafra angolensis,Mirafra angolensis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anarhynchus mongolus,Charadrius mongolus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anarhynchus sanctaehelenae,Charadrius sanctaehelenae,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anser caerulescens,Chen caerulescens,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anser canagicus,Chen canagica,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anser cygnoides,Anser cygnoid,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anser rossii,Chen rossii,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Anurolimnas castaneiceps,Rufirallus castaneiceps,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
